deal,description,savings,price (in rs.)
hot and crispy combo,"2pc chicken, wings, dips, pepsi",rs. 75 off,299
signature bucket,"4pc chicken, wings, strips, dips, pepsi",35% off,599
special 11 meal,"chicken legs, peri strips, wings",rs. 164 off,435
hitter savings,"chicken legs, wings",rs. 132 off,349
classic zinger combo,"zinger burger, fries, pepsi",rs. 26 off,199
sixer savings,"chicken legs, peri strips",rs. 249 off,499
super savings,"chicken rolls, wings, pepsi",rs. 75 off,299
veg lovers meal,"veg burgers, longers, fries, pepsi",rs. 252 off,399
leg piece deal,"chicken legs, pepsi",rs. 308 off,399
new chicken longer,"longer burgers, strips, pepsi",40% off,179
new single chicken rolls,"chicken rolls, strips, pepsi",44% off,149
new rizo rice bowlz,"rice bowlz, strips, pepsi",31% off,199
family deal,"chicken zingers, popcorn, fries, pepsi",-,699
classic zinger,"chicken fillet, cheese, veggies, mayo",-,199
caribbean spicy zinger,"spicy burger, popcorn, pepsi",-,199
veg zinger lovers,"veg burger, patties, pepsi",-,199
tandoori zinger deal,"tandoori burger, wings, patty, pepsi",-,199
"leg, wings, strips combo","chicken leg, wings, strips, pepsi",-,399
popcorn rice bowlz deal,"popcorn rice bowlz, wings, pepsi",rs. 118 off,299
smoky red chicken,grilled chicken,-,199
chicken popcorn pack,"popcorn chicken, chili lime",-,99
veg roll meal,"veg rolls, fries, pepsi",-,199
chicken roll combo,"chicken rolls, fries, pepsi",-,199
dessert special,"chocolate cake, mousse cake",-,99
add-ons,"dips, pepsi, 7up, mirinda",-,varies
